RequestID,Date,Time,IP,Protocol,Method,Scale,TileRow,TileColumn,URI,Status,Bytes,TimeTaken,Referer,UserAgent,Cookie,DateNumber
1,9/3/2013,40:42.0,-,0,0,8,90,64,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/8/90/64,200,8519,0,-,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),-,3
2,9/3/2013,40:42.0,-,0,0,8,92,65,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/8/92/65,200,11508,0,-,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),-,3
3,9/3/2013,40:42.0,-,0,0,8,90,67,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/8/90/67,200,7928,0,-,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),-,3
4,9/3/2013,40:42.0,-,0,0,8,92,70,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/8/92/70,200,9523,0,-,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),-,3
5,9/3/2013,40:42.0,-,0,0,8,92,68,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/8/92/68,200,9280,0,-,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),-,3
6,9/3/2013,40:42.0,-,0,0,18,99960,62412,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/99960/62412,200,25555,0,-,"Mozilla/5.0 (X11; CrOS x86_64 4319.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36",-,3
7,9/3/2013,40:42.0,-,0,0,16,24983,17377,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/16/24983/17377,200,20980,1,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8,9/3/2013,40:42.0,-,0,0,18,99960,62415,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/99960/62415,200,22032,0,-,"Mozilla/5.0 (X11; CrOS x86_64 4319.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36",-,3
9,9/3/2013,40:42.0,-,0,0,11,823,350,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/11/823/350,200,2718,0,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.8 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.8",-,3
10,9/3/2013,40:42.0,-,0,0,11,819,353,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/11/819/353,200,26580,1,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.8 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.8",-,3
